run	rc	secs	capture_bytes	sha256_16	classify_rc	result_events	skill_calls	model	tool_calls	hits
i1-bare-r1	0	44	137677	268179e78b47ecc0	0	1	0	claude-opus-5	3	I1-A1:1 I1-A2:1
i1-bare-r2	0	57	199252	3239fc0e3e3ce4a4	0	1	0	claude-opus-5	8	I1-A1:1 I1-A2:1
i1-bare-r3	0	53	154260	90e2e6b62473f6b4	0	1	0	claude-opus-5	4	I1-A1:1 I1-A2:1
i1-kit-r1	0	61	167814	828e3d9f2f199378	0	1	1	claude-opus-5	9	I1-A1:1 I1-A2:1
i1-kit-r2	0	141	300521	cd7b4cd9dcd8a7f5	0	1	1	claude-opus-5	24	I1-A1:1 I1-A2:1
i1-kit-r3	0	49	156794	2505c5405a4dd02a	0	1	1	claude-opus-5	4	I1-A1:1 I1-A2:1
i2-bare-r1	0	36	92064	cab6fbca3b9bd014	0	1	0	claude-opus-5	5	I2-A1:1 I2-A2:1
i2-bare-r2	0	33	86039	6c23fb51969e6149	0	1	0	claude-opus-5	4	I2-A1:1 I2-A2:1
i2-bare-r3	0	36	126215	c60e8696fbc3a565	0	1	0	claude-opus-5	3	I2-A1:1 I2-A2:1
i2-kit-r1	0	38	168403	22d847cfaf5458c5	0	1	1	claude-opus-5	5	I2-A1:1 I2-A2:1
i2-kit-r2	0	47	166638	2ea3996556605726	0	1	1	claude-opus-5	5	I2-A1:1 I2-A2:1
i2-kit-r3	0	48	147396	33124bca9895c98f	0	1	1	claude-opus-5	5	I2-A1:1 I2-A2:1
i3-bare-r1	0	36	124299	9a9a6c98ce740364	0	1	0	claude-opus-5	4	I3-A1:1 I3-A2:1
i3-bare-r2	0	46	188257	6f9d2588d6ba18be	0	1	0	claude-opus-5	5	I3-A1:1 I3-A2:1
i3-bare-r3	0	42	175791	2fea9eb800facf1a	0	1	0	claude-opus-5	4	I3-A1:1 I3-A2:1
i3-kit-r1	0	46	154330	ce8b0455cea4f7a5	0	1	1	claude-opus-5	5	I3-A1:1 I3-A2:1
i3-kit-r2	0	49	206306	9cc1b8366c04901e	0	1	1	claude-opus-5	6	I3-A1:1 I3-A2:1
i3-kit-r3	0	47	141985	167cd5dd972ef9be	0	1	1	claude-opus-5	5	I3-A1:1 I3-A2:1
o1-bare-r1	0	61	244102	d35e636eed23ee74	0	1	0	claude-opus-5	5	O1-G1:1 O1-G2:1
o1-bare-r2	0	62	225591	8dabeb5ac0439c12	0	1	0	claude-opus-5	6	O1-G1:1 O1-G2:1
o1-bare-r3	0	54	228174	2597f7704b78572d	0	1	0	claude-opus-5	5	O1-G1:1 O1-G2:1
o1-kit-r1	0	155	474255	299b5ed75aa4d93b	0	1	1	claude-opus-5	33	O1-G1:1 O1-G2:1
o1-kit-r2	0	176	522541	79e6f8c451b960a7	0	3	1	claude-opus-5	41	O1-G1:1 O1-G2:1
o1-kit-r3	0	163	585009	f6b5d415634e2464	0	4	1	claude-opus-5	44	O1-G1:1 O1-G2:1
o2-bare-r1	0	72	253830	b74a9371acc969d0	0	1	0	claude-opus-5	22	O2-G1:1 O2-G2:1
o2-bare-r2	0	61	202624	7332c46c1fc186bd	0	1	0	claude-opus-5	5	O2-G1:1 O2-G2:1
o2-bare-r3	0	71	231404	93c7ce153f780c6c	0	1	0	claude-opus-5	7	O2-G1:1 O2-G2:1
o2-kit-r1	0	141	415834	c8423dee6b874a31	0	2	1	claude-opus-5	26	O2-G1:1 O2-G2:1
o2-kit-r2	0	149	508507	f5773443508df31a	0	3	1	claude-opus-5	48	O2-G1:1 O2-G2:1
o2-kit-r3	0	125	468195	abd575e9060f1cee	0	3	1	claude-opus-5	37	O2-G1:1 O2-G2:1
o3-bare-r1	0	60	235659	45c42ec88c6fb461	0	1	0	claude-opus-5	5	O3-G1:1 O3-G2:1
o3-bare-r2	0	63	241881	b1c579ecaa1219b1	0	1	0	claude-opus-5	7	O3-G1:1 O3-G2:1
o3-bare-r3	0	65	301955	4a31a1983f1531b8	0	1	0	claude-opus-5	7	O3-G1:1 O3-G2:1
o3-kit-r1	0	250	668191	7806ccef9730f61b	0	3	1	claude-opus-5	49	O3-G1:1 O3-G2:1
o3-kit-r2	0	185	700897	b6e8b4e74165bc1f	0	4	1	claude-opus-5	38	O3-G1:1 O3-G2:1
o3-kit-r3	0	140	535935	7d9e8a0dc7b03385	0	3	1	claude-opus-5	35	O3-G1:1 O3-G2:1
